sleep_id,user_id,physical_activity_minutes,stress_level,daily_steps,timestamp
1,1,42,6,4200,2024-03-20 08:00:00
2,2,60,8,10000,2024-03-20 08:00:00
3,3,60,8,10000,2024-03-20 08:00:00
4,4,30,8,3000,2024-03-20 08:00:00
5,5,30,8,3000,2024-03-20 08:00:00
6,6,30,8,3000,2024-03-20 08:00:00
7,7,40,7,3500,2024-03-20 08:00:00
8,8,75,6,8000,2024-03-20 08:00:00
9,9,75,6,8000,2024-03-20 08:00:00
10,10,75,6,8000,2024-03-20 08:00:00
11,11,30,8,8000,2024-03-20 08:00:00
12,12,75,6,8000,2024-03-20 08:00:00
13,13,30,8,8000,2024-03-20 08:00:00
14,14,30,8,8000,2024-03-20 08:00:00
15,15,30,8,8000,2024-03-20 08:00:00
16,16,30,8,8000,2024-03-20 08:00:00
17,17,40,7,4000,2024-03-20 08:00:00
18,18,30,8,8000,2024-03-20 08:00:00
19,19,40,7,4000,2024-03-20 08:00:00
20,20,75,6,8000,2024-03-20 08:00:00
21,21,75,6,8000,2024-03-20 08:00:00
22,22,75,6,8000,2024-03-20 08:00:00
23,23,75,6,8000,2024-03-20 08:00:00
24,24,75,6,8000,2024-03-20 08:00:00
25,25,75,6,8000,2024-03-20 08:00:00
26,26,75,6,8000,2024-03-20 08:00:00
27,27,75,6,8000,2024-03-20 08:00:00
28,28,75,6,8000,2024-03-20 08:00:00
29,29,75,6,8000,2024-03-20 08:00:00
30,30,75,6,8000,2024-03-20 08:00:00
31,31,35,7,4100,2024-03-20 08:00:00
32,32,35,7,4100,2024-03-20 08:00:00
33,33,75,4,6800,2024-03-20 08:00:00
34,34,30,8,5000,2024-03-20 08:00:00
35,35,75,6,8000,2024-03-20 08:00:00
36,36,30,8,5000,2024-03-20 08:00:00
37,37,30,8,5000,2024-03-20 08:00:00
38,38,75,6,8000,2024-03-20 08:00:00
39,39,75,6,8000,2024-03-20 08:00:00
40,40,75,6,8000,2024-03-20 08:00:00
41,41,75,6,8000,2024-03-20 08:00:00
42,42,75,6,8000,2024-03-20 08:00:00
43,43,75,6,8000,2024-03-20 08:00:00
44,44,75,6,8000,2024-03-20 08:00:00
45,45,75,6,8000,2024-03-20 08:00:00
46,46,75,6,8000,2024-03-20 08:00:00
47,47,75,6,8000,2024-03-20 08:00:00
48,48,75,6,8000,2024-03-20 08:00:00
49,49,75,6,8000,2024-03-20 08:00:00
50,50,75,6,8000,2024-03-20 08:00:00
51,51,45,3,8000,2024-03-20 08:00:00
52,52,45,3,8000,2024-03-20 08:00:00
53,53,30,8,5000,2024-03-20 08:00:00
54,54,75,6,8000,2024-03-20 08:00:00
55,55,30,8,5000,2024-03-20 08:00:00
56,56,30,8,5000,2024-03-20 08:00:00
57,57,75,6,8000,2024-03-20 08:00:00
58,58,30,8,5000,2024-03-20 08:00:00
59,59,30,8,5000,2024-03-20 08:00:00
60,60,75,6,8000,2024-03-20 08:00:00
61,61,30,8,5000,2024-03-20 08:00:00
62,62,30,8,5000,2024-03-20 08:00:00
63,63,30,8,5000,2024-03-20 08:00:00
64,64,30,8,5000,2024-03-20 08:00:00
65,65,30,8,5000,2024-03-20 08:00:00
66,66,30,8,5000,2024-03-20 08:00:00
67,67,50,6,7000,2024-03-20 08:00:00
68,68,30,8,5000,2024-03-20 08:00:00
69,69,50,6,5500,2024-03-20 08:00:00
70,70,50,6,5500,2024-03-20 08:00:00
71,71,30,8,5000,2024-03-20 08:00:00
72,72,30,8,5000,2024-03-20 08:00:00
73,73,30,8,5000,2024-03-20 08:00:00
74,74,30,8,5000,2024-03-20 08:00:00
75,75,30,8,5000,2024-03-20 08:00:00
76,76,30,8,5000,2024-03-20 08:00:00
77,77,30,8,5000,2024-03-20 08:00:00
78,78,30,8,5000,2024-03-20 08:00:00
79,79,30,8,5000,2024-03-20 08:00:00
80,80,30,8,5000,2024-03-20 08:00:00
81,81,32,8,5200,2024-03-20 08:00:00
82,82,32,8,5200,2024-03-20 08:00:00
83,83,40,5,5600,2024-03-20 08:00:00
84,84,40,5,5600,2024-03-20 08:00:00
85,85,60,5,8000,2024-03-20 08:00:00
86,86,60,4,7000,2024-03-20 08:00:00
87,87,60,4,5000,2024-03-20 08:00:00
88,88,60,4,5000,2024-03-20 08:00:00
89,89,60,4,5000,2024-03-20 08:00:00
90,90,60,4,5000,2024-03-20 08:00:00
91,91,60,4,5000,2024-03-20 08:00:00
92,92,60,4,5000,2024-03-20 08:00:00
93,93,60,5,8000,2024-03-20 08:00:00
94,94,60,5,3300,2024-03-20 08:00:00
95,95,60,4,7000,2024-03-20 08:00:00
96,96,60,4,7000,2024-03-20 08:00:00
97,97,60,4,7000,2024-03-20 08:00:00
98,98,60,4,7000,2024-03-20 08:00:00
99,99,60,4,7000,2024-03-20 08:00:00
100,100,60,4,7000,2024-03-20 08:00:00
101,101,60,4,7000,2024-03-20 08:00:00
102,102,60,4,7000,2024-03-20 08:00:00
103,103,60,4,7000,2024-03-20 08:00:00
104,104,35,7,4800,2024-03-20 08:00:00
105,105,60,4,7000,2024-03-20 08:00:00
106,106,35,7,4800,2024-03-20 08:00:00
107,107,42,6,4200,2024-03-20 08:00:00
108,108,70,4,7000,2024-03-20 08:00:00
109,109,70,4,7000,2024-03-20 08:00:00
110,110,60,5,8000,2024-03-20 08:00:00
111,111,60,4,7000,2024-03-20 08:00:00
112,112,60,5,8000,2024-03-20 08:00:00
113,113,60,4,7000,2024-03-20 08:00:00
114,114,60,5,8000,2024-03-20 08:00:00
115,115,60,4,7000,2024-03-20 08:00:00
116,116,60,4,7000,2024-03-20 08:00:00
117,117,60,4,7000,2024-03-20 08:00:00
118,118,60,4,7000,2024-03-20 08:00:00
119,119,60,4,7000,2024-03-20 08:00:00
120,120,60,4,7000,2024-03-20 08:00:00
121,121,60,4,7000,2024-03-20 08:00:00
122,122,60,4,7000,2024-03-20 08:00:00
123,123,60,4,7000,2024-03-20 08:00:00
124,124,60,4,7000,2024-03-20 08:00:00
125,125,60,4,7000,2024-03-20 08:00:00
126,126,60,4,8000,2024-03-20 08:00:00
127,127,60,5,8000,2024-03-20 08:00:00
128,128,60,4,7000,2024-03-20 08:00:00
129,129,60,5,8000,2024-03-20 08:00:00
130,130,60,5,8000,2024-03-20 08:00:00
131,131,60,4,7000,2024-03-20 08:00:00
132,132,60,5,8000,2024-03-20 08:00:00
133,133,60,5,8000,2024-03-20 08:00:00
134,134,60,4,7000,2024-03-20 08:00:00
135,135,60,5,8000,2024-03-20 08:00:00
136,136,60,5,8000,2024-03-20 08:00:00
